,Country Name,Year,Wheat Yield (tonnes/km2)
722,Bolivia,2013,1.12
723,Bolivia,2014,1.07
724,Bolivia,2015,1.72
725,Bolivia,2016,1.43
726,Bolivia,2017,0.88
727,Bolivia,2018,1.51
728,Bolivia,2019,1.2
729,Bolivia,2020,1.52
730,Bolivia,2021,1.67
731,Bosnia and Herzegovina,1992,3.4
732,Bosnia and Herzegovina,1993,3.26
733,Bosnia and Herzegovina,1994,3.48
734,Bosnia and Herzegovina,1995,3.41
735,Bosnia and Herzegovina,1996,3.01
736,Bosnia and Herzegovina,1997,3.02
737,Bosnia and Herzegovina,1998,3.21
738,Bosnia and Herzegovina,1999,2.72
739,Bosnia and Herzegovina,2000,3.23
740,Bosnia and Herzegovina,2001,2.43
741,Bosnia and Herzegovina,2002,3.0
742,Bosnia and Herzegovina,2003,2.26
743,Bosnia and Herzegovina,2004,3.67
744,Bosnia and Herzegovina,2005,3.06
745,Bosnia and Herzegovina,2006,3.17
746,Bosnia and Herzegovina,2007,3.48
747,Bosnia and Herzegovina,2008,3.74
748,Bosnia and Herzegovina,2009,3.78
749,Bosnia and Herzegovina,2010,2.66
750,Bosnia and Herzegovina,2011,3.6
751,Bosnia and Herzegovina,2012,3.71
752,Bosnia and Herzegovina,2013,3.92
753,Bosnia and Herzegovina,2014,2.86
754,Bosnia and Herzegovina,2015,3.53
755,Bosnia and Herzegovina,2016,4.29
756,Bosnia and Herzegovina,2017,4.17
757,Bosnia and Herzegovina,2018,4.02
758,Bosnia and Herzegovina,2019,3.84
759,Bosnia and Herzegovina,2020,4.6
760,Bosnia and Herzegovina,2021,4.79
761,Botswana,1961,2.5
762,Botswana,1962,2.5
763,Botswana,1963,2.5
764,Botswana,1964,2.5
765,Botswana,1965,2.5
766,Botswana,1966,2.37
767,Botswana,1967,2.37
768,Botswana,1968,2.38
769,Botswana,1969,2.24
770,Botswana,1970,1.89
771,Botswana,1971,2.5
772,Botswana,1972,2.5
773,Botswana,1973,2.07
774,Botswana,1974,2.04
775,Botswana,1975,2.04
776,Botswana,1976,2.11
777,Botswana,1977,2.0
778,Botswana,1978,2.0
779,Botswana,1979,2.0
780,Botswana,1980,2.0
781,Botswana,1981,2.0
782,Botswana,1982,2.0
783,Botswana,1983,2.0
784,Botswana,1984,2.0
785,Botswana,1985,2.0
786,Botswana,1986,2.0
787,Botswana,1987,2.0
788,Botswana,1988,2.0
789,Botswana,1989,2.0
790,Botswana,1990,2.62
791,Botswana,1991,2.23
792,Botswana,1992,2.15
793,Botswana,1993,2.07
794,Botswana,1994,1.99
795,Botswana,1995,1.91
796,Botswana,1996,1.89
797,Botswana,1997,1.72
798,Botswana,1998,1.67
799,Botswana,1999,1.63
800,Botswana,2000,1.59
801,Botswana,2001,1.57
802,Botswana,2002,1.45
803,Botswana,2003,1.37
804,Botswana,2004,1.27
805,Botswana,2005,1.16
806,Botswana,2006,1.05
807,Botswana,2007,0.9
808,Botswana,2008,0.8
